Откуда идет	Куда поступает
XA009:A	XM1-001.XT2:4
XA009:B	XM1-002.XT2:3
XA009:C	XM1-001.XT2:3
XA009:E	XM1-003.XT2:4
XA009:F	XM1-004.XT2:3
XA009:G	XM1-003.XT2:3
XA011:A	XL3-001.XT2:4
XA011:B	XL3-002.XT2:4
XA011:C	XL3-002.XT2:5
XA011:E	XL3-003.XT2:4
XA011:F	XL3-004.XT2:4
XA011:G	XL3-004.XT2:5
XA013:A	XM1-005.XT2:4
XA013:B	XM1-005.XT2:3
XA013:C	XM1-006.XT2:3
XA013:D	XM1-007.XT2:3
XA013:E	XM1-008.XT2:3
XA014:A	XM1-009.XT2:4
XA014:B	XM1-009.XT2:3
XA014:C	XM1-010.XT2:3
XA014:D	XM3-001.XT2:3
XA014:E	XM3-002.XT2:3
XA015:A	XM3-003.XT2:4
XA015:B	XM3-003.XT2:3
XA015:C	XM3-004.XT2:3
XA015:D	XM3-005.XT2:3
XA015:E	XM3-006.XT2:3
XA016:A	XM3-007.XT2:4
XA016:B	XM3-007.XT2:3
XA016:C	XM3-008.XT2:3
XA016:D	XM3-009.XT2:3
XA016:E	XM3-010.XT2:3
XA017:A	XM5-001.XT2:4
XA017:B	XM5-001.XT2:3
XA017:C	XM5-002.XT2:3
XA017:D	XM5-003.XT2:3
XA017:E	XM5-004.XT2:3
XA018:A	XM5-005.XT2:4
XA018:B	XM5-005.XT2:3
XA018:C	XM5-006.XT2:3
XA018:D	XM5-007.XT2:3
XA018:E	XM5-008.XT2:3
XA019:A	XM5-009.XT2:4
XA019:B	XM5-009.XT2:3
XA019:C	XM5-010.XT2:3
XA019:D	XM7-001.XT2:3
XA019:E	XM7-002.XT2:3
XA020:A	XM7-003.XT2:4
XA020:B	XM7-003.XT2:3
XA020:C	XM7-004.XT2:3
XA020:D	XM7-005.XT2:3
XA020:E	XM7-006.XT2:3
XA065:A	XL3-005.XT2:4
XA065:B	XL3-006.XT2:4
XA065:C	XL3-005.XT2:5
XA065:E	XL3-007.XT2:4
XA065:F	XL3-008.XT2:4
XA065:G	XL3-007.XT2:5
XA066:A	XL3-009.XT2:4
XA066:B	XL3-010.XT2:4
XA066:C	XL3-009.XT2:5
XA066:E	XL3-011.XT2:4
XA066:F	XL3-012.XT2:4
XA066:G	XL3-011.XT2:5
XA067:A	XL3-013.XT2:4
XA067:B	XL3-014.XT2:4
XA067:C	XL3-013.XT2:5
XA067:E	XL3-015.XT2:4
XA067:F	XL3-016.XT2:4
XA067:G	XL3-015.XT2:5
XA068:A	XL3-017.XT2:4
XA068:B	XL3-018.XT2:4
XA068:C	XL3-017.XT2:5
XA068:E	XL3-019.XT2:4
XA068:F	XL3-020.XT2:4
XA068:G	XL3-019.XT2:5
XA093:A	XM7-007.XT2:4
XA093:B	XM7-007.XT2:3
XA093:C	XM7-008.XT2:3
XA093:E	XM7-009.XT2:4
XA093:F	XM7-009.XT2:3
XA093:G	XM7-010.XT2:3
XA094:A	XL1-001.XT2:4
XA094:B	XL1-001.XT2:3
XA094:C	XL1-002.XT2:3
XA094:E	XL1-003.XT2:4
XA094:F	XL1-003.XT2:3
XA094:G	XL1-004.XT2:3
XA095:A	XL1-005.XT2:4
XA095:B	XL1-005.XT2:3
XA095:C	XL1-006.XT2:3
XA095:E	XL1-007.XT2:4
XA095:F	XL1-007.XT2:3
XA095:G	XL1-008.XT2:3
XA096:A	XL1-009.XT2:4
XA096:B	XL1-009.XT2:3
XA096:C	XL1-010.XT2:3
XA098:A	XK1-001.XT2:4
XA098:B	XK1-001.XT2:3
XA098:C	XK1-002.XT2:3
XA098:E	XK1-003.XT2:4
XA098:F	XK1-003.XT2:3
XA098:G	XK1-004.XT2:3
XA099:A	XK1-005.XT2:4
XA099:B	XK1-005.XT2:3
XA099:C	XK1-006.XT2:3
XA099:E	XK1-007.XT2:4
XA099:F	XK1-007.XT2:3
XA099:G	XK1-008.XT2:3
XA101:A	XK1-009.XT2:4
XA101:B	XK1-009.XT2:3
XA101:C	XK1-010.XT2:3
XA101:D	XK3-001.XT2:3
