Шкаф	Обозначение провода	Откуда идет	Куда поступает
1HV19	0501	XT10-b9	XT11-b9
1HV19	0501	XT11-b9	XT12-b9
1HV19	0504	XT28-b9	XT29-b9
1HV19	0504	XT29-b9	XT30-b9
1HV19	901	XT10-b11	XT11-b11
1HV19	901	XT11-b11	XT12-b11
1HV19	902	XT28-b11	XT29-b11
1HV19	902	XT29-b11	XT30-b11
1HV19	984.8	XT19-b8	XT1-b8
1HV19	984.8	XT1-b8	XT20-b8
1HV19	984.8	XT20-b8	XT21-b8
1HV19	984.8	XT19-b8	XT2-b8
1HV19	984.8	XT2-b8	XT3-b8
1HV20	0501	XT10-a7	XT11-a7
1HV20	0501	XT11-a7	XT12-a7
1HV20	0501	XT12-a7	XT13-a7
1HV20	0501	XT13-a7	XT9-b1
1HV20	0501	XT9-b1	XT9-a2
1HV20	0501	XT9-a2	XT9-a3
1HV20	0501	XT9-a3	XT9-a4
1HV20	0502	XT28-a7	XT29-a7
1HV20	0502	XT29-a7	XT30-a7
1HV20	0502	XT30-a7	XT31-a7
1HV20	0502	XT31-a7	XT9-b5
1HV20	0502	XT9-b5	XT9-a1
1HV20	0507	XT14-a7	XT15-a7
1HV20	0507	XT15-a7	XT16-a7
1HV20	0507	XT16-a7	XT17-a7
1HV20	0510	XT10-b6	XT11-b6
1HV20	0510	XT11-b6	XT12-b6
1HV20	0510	XT12-b6	XT13-b6
1HV20	0510	XT13-b6	XT14-b6
1HV20	0510	XT14-b6	XT15-b6
1HV20	0510	XT15-b6	XT16-b6
1HV20	0510	XT16-b6	XT17-b6
1HV20	0510	XT17-b6	XT28-b6
1HV20	0510	XT28-b6	XT29-b6
1HV20	0510	XT29-b6	XT30-b6
1HV20	0510	XT30-b6	XT31-b6
1HV20	0518	XTK28-b1	XTK29-b1
1HV20	0518-I	XTK32-b1	XTK33-b1
1HV20	0520	XT18-a5	XT18-a8
1HV20	0520	XT18-a5	XT18-a9
1HV20	0523-2	XTK20-b1	XTK34-b1
1HV20	0524-2	XTK21-b1	XTK35-b1
1HV20	751	XT35-a10	XTN06-b12
1HV20	753-1	XT35-a8	XTN06-a10
1HV20	1TQ10P92V1	XT14-a9	XT15-a9
1HV20	1TQ10P92V1	XT15-a9	XT16-a9
1HV20	1TQ10P92V1	XT16-a9	XT17-a9
1HV20	1TQ10P94V1	XT10-a9	XT11-a9
1HV20	1TQ10P94V1	XT11-a9	XT12-a9
1HV20	1TQ10P94V1	XT12-a9	XT13-a9
1HV20	1TQ10P94V2	XT28-a9	XT29-a9
1HV20	1TQ10P94V2	XT29-a9	XT30-a9
1HV20	1TQ10P94V2	XT30-a9	XT31-a9
1HV20	1YZS01H5	XT1-b8	XT2-b8
1HV20	1YZS01H5	XT2-b8	XT3-b8
1HV20	1YZS01H5	XT3-b8	XT4-b8
1HV20	1YZS01H6	XT19-b8	XT20-b8
1HV20	1YZS01H6	XT20-b8	XT21-b8
